Subject,Start Date,Start Time,End Date,End Time,Description,Location
LecA COSC368,10/04/2016,09:00 AM,10/04/2016,10:00 AM,"Humans and Computers ::  Cockburn,AJ", E9 Lecture Theatre
LecA COSC368,10/11/2016,09:00 AM,10/11/2016,10:00 AM,Humans and Computers :: Cosc100Tutor, E9 Lecture Theatre
LecB COSC368,07/15/2016,11:00 AM,07/15/2016,12:00 PM,"Humans and Computers :: Cockburn,AJ", A3 Lecture Theatre
LecB COSC368,07/22/2016,11:00 AM,07/22/2016,12:00 PM,Humans and Computers ::  Cosc100Tutor, A3 Lecture Theatre
LecB COSC368,07/29/2016,11:00 AM,07/29/2016,12:00 PM,Humans and Computers ::  Cosc100Tutor, A3 Lecture Theatre
LecB COSC368,08/05/2016,11:00 AM,08/05/2016,12:00 PM,Humans and Computers ::  Cosc100Tutor, A3 Lecture Theatre
LecB COSC368,08/12/2016,11:00 AM,08/12/2016,12:00 PM,Humans and Computers ::  Cosc100Tutor, A3 Lecture Theatre
LecB COSC368,08/19/2016,11:00 AM,08/19/2016,12:00 PM,"Humans and Computers :: Cockburn,AJ", A3 Lecture Theatre
LecB COSC368,09/09/2016,11:00 AM,09/09/2016,12:00 PM,"Humans and Computers :: Cockburn,AJ", A3 Lecture Theatre
LecB COSC368,09/16/2016,11:00 AM,09/16/2016,12:00 PM,Humans and Computers ::  Cosc100Tutor, A3 Lecture Theatre
LecB COSC368,09/23/2016,11:00 AM,09/23/2016,12:00 PM,Humans and Computers ::  Cosc100Tutor, A3 Lecture Theatre
LecB COSC368,09/30/2016,11:00 AM,09/30/2016,12:00 PM,Humans and Computers ::  Cosc100Tutor, A3 Lecture Theatre
LecB COSC368,10/07/2016,11:00 AM,10/07/2016,12:00 PM,Humans and Computers ::  Cosc100Tutor, A3 Lecture Theatre
LecB COSC368,10/14/2016,11:00 AM,10/14/2016,12:00 PM,"Humans and Computers :: Cockburn,AJ", A3 Lecture Theatre
LabA ENCE361,03/10/2016,09:00 AM,03/10/2016,11:00 AM,"Embedded Systems 1 :: Hampton,R", Temporary Elec DSL Lab
LabA ENCE361,03/17/2016,09:00 AM,03/17/2016,11:00 AM,"Embedded Systems 1 ::  Hof,P", Temporary Elec DSL Lab
LabA ENCE361,03/24/2016,09:00 AM,03/24/2016,11:00 AM,"Embedded Systems 1 ::  Hof,P", Temporary Elec DSL Lab
LabA ENCE361,03/31/2016,09:00 AM,03/31/2016,11:00 AM,"Embedded Systems 1 ::  Hof,P", Temporary Elec DSL Lab
LabA ENCE361,04/07/2016,09:00 AM,04/07/2016,11:00 AM,"Embedded Systems 1 :: Hampton,R", Temporary Elec DSL Lab
LabA ENCE361,05/05/2016,09:00 AM,05/05/2016,11:00 AM,"Embedded Systems 1 :: Hampton,R", Temporary Elec DSL Lab
LabA ENCE361,05/12/2016,09:00 AM,05/12/2016,11:00 AM,"Embedded Systems 1 ::  Hof,P", Temporary Elec DSL Lab
LabA ENCE361,05/19/2016,09:00 AM,05/19/2016,11:00 AM,"Embedded Systems 1 ::  Hof,P", Temporary Elec DSL Lab
LabA ENCE361,05/26/2016,09:00 AM,05/26/2016,11:00 AM,"Embedded Systems 1 ::  Hof,P", Temporary Elec DSL Lab
LabA ENCE361,06/02/2016,09:00 AM,06/02/2016,11:00 AM,"Embedded Systems 1 :: Hampton,R", Temporary Elec DSL Lab
LecA ENCE361,02/23/2016,08:00 AM,02/23/2016,09:00 AM,"Embedded Systems 1 ::  Bones,P", A3 Lecture Theatre
LecA ENCE361,03/01/2016,08:00 AM,03/01/2016,09:00 AM,"Embedded Systems 1 ::  Bones,P", A3 Lecture Theatre
LecA ENCE361,03/08/2016,08:00 AM,03/08/2016,09:00 AM,"Embedded Systems 1 ::  Bones,P", A3 Lecture Theatre
LecA ENCE361,03/15/2016,08:00 AM,03/15/2016,09:00 AM,"Embedded Systems 1 ::  Bones,P", A3 Lecture Theatre
LecA ENCE361,03/22/2016,08:00 AM,03/22/2016,09:00 AM,"Embedded Systems 1 ::  Bones,P", A3 Lecture Theatre
LecA ENCE361,04/05/2016,08:00 AM,04/05/2016,09:00 AM,"Embedded Systems 1 ::  Bones,P", A3 Lecture Theatre
LecA ENCE361,05/03/2016,08:00 AM,05/03/2016,09:00 AM,"Embedded Systems 1 ::  Bones,P", A3 Lecture Theatre
LecA ENCE361,05/10/2016,08:00 AM,05/10/2016,09:00 AM,"Embedded Systems 1 ::  Bones,P", A3 Lecture Theatre
LecA ENCE361,05/17/2016,08:00 AM,05/17/2016,09:00 AM,"Embedded Systems 1 ::  Bones,P", A3 Lecture Theatre
LecA ENCE361,05/24/2016,08:00 AM,05/24/2016,09:00 AM,"Embedded Systems 1 ::  Bones,P", A3 Lecture Theatre
LecA ENCE361,05/31/2016,08:00 AM,05/31/2016,09:00 AM,"Embedded Systems 1 ::  Bones,P", A3 Lecture Theatre
LecB ENCE361,02/24/2016,03:00 PM,02/24/2016,04:00 PM,"Embedded Systems 1 ::  Bones,P", Law 108 Lecture Theatre
LecB ENCE361,03/02/2016,03:00 PM,03/02/2016,04:00 PM,"Embedded Systems 1 ::  Bones,P", Law 108 Lecture Theatre
LecB ENCE361,03/09/2016,03:00 PM,03/09/2016,04:00 PM,"Embedded Systems 1 ::  Bones,P", Law 108 Lecture Theatre
LecB ENCE361,03/16/2016,03:00 PM,03/16/2016,04:00 PM,"Embedded Systems 1 ::  Bones,P", Law 108 Lecture Theatre
LecB ENCE361,03/23/2016,03:00 PM,03/23/2016,04:00 PM,"Embedded Systems 1 ::  Bones,P", Law 108 Lecture Theatre
LecB ENCE361,03/30/2016,03:00 PM,03/30/2016,04:00 PM,"Embedded Systems 1 ::  Bones,P", Law 108 Lecture Theatre
LecB ENCE361,04/06/2016,03:00 PM,04/06/2016,04:00 PM,"Embedded Systems 1 ::  Bones,P", Law 108 Lecture Theatre
LecB ENCE361,05/04/2016,03:00 PM,05/04/2016,04:00 PM,"Embedded Systems 1 ::  Bones,P", Law 108 Lecture Theatre
LecB ENCE361,05/11/2016,03:00 PM,05/11/2016,04:00 PM,"Embedded Systems 1 ::  Bones,P", Law 108 Lecture Theatre
